page	first_nonempty_line	chars	lines
1	МИНИСТЕРСТВО НАУКИ И ВЫСШЕГО ОБРАЗОВАНИЯ РФ	409	10
2	УДК 004.4(075)	1470	23
3	Оглавление	3066	32
4	8.1 Цели и задачи практики..............................................................................42	740	8
5	1 Общие сведения	1446	26
6	Обязательным требованием является создание программного	1366	25
7	Пояснительная записка должна в себя включать наличие следующих	1200	23
8	Стандарт, устанавливающий единые требования к форматированию и	981	26
9	19) Приложение В - Руководство системного программиста	1519	26
10	формул приложений, имеющихся только в ПЗ без учета приложений и	1468	30
11	- выбор перспективных подходов к решению задачи;	1611	30
12	Если студентом за основу был заимствован исходный код	1683	29
13	14) «Выводы» излагаются краткие выводы о проделанной в четвертом	1443	26
14	2.2 Техническое задание	1118	21
15	2.2.2 Типовая структура ТЗ согласно ГОСТ 19.201-78	1115	28
16	4.6 Требования к маркировке и упаковке	795	19
17	2.2.3 Содержание разделов ТЗ	1474	28
18	 требования к информационной и программной совместимости;	1725	29
19	В разделе «4.3 Требования к условиям эксплуатации» должны быть	1619	30
20	- требования к защите информации.	1742	30
21	транспортирования, места хранения, условия хранения, условия	1637	30
22	В разделе «Приложение Б.2 - Сценарии вариантов использования»	1217	22
23	2.3.2 Типовая структура РСП согласно ГОСТ 19.503-79	922	22
24	В разделе «1. Общие сведения о программе» должна быть указаны	1819	30
25	В разделе «5. Дополнительные возможности» должно быть	1291	24
26	Реализация программы должна быть выполнена с использованием	1409	26
27	4 Мероприятия	1356	27
28	Работы, которые небыли представлены на первый этап	1296	25
29	 Объект, предмет исследования, научная новизна (если такова	1490	29
30	кафедры с участием руководителя и студента. Протокол заседания кафедры	1240	25
31	 Объект, предмет исследования, научная новизна (если такова	1451	30
32	4.4 Третья предзащита	1263	26
33	 Описание существующей проблемы в заданной предметной	1498	29
34	 Подделка подписи научного руководителя в первый раз	1159	24
35	техническим заданием. Так же оценивается качество оформления и	1740	30
36	В комплекте поставки программы должны присутствовать	1277	24
37	 в случае веб-приложения, должна быть представлена виртуальная	1186	21
38	6 Проверка работы на плагиат и нормоконтроль	1671	28
39	Если работа выполнена успешно сразу, то вы переходите к следующему	1873	30
40	7) Студент формирует следующие файлы с именем для	975	27
41	17) Приложение А - Справка о результатах проверки выпускной	1124	26
42	Рис 1. – Переплет работы	897	17
43	- получение практического опыта подготовки презентации и	893	22
44	2.5 Дополнительные возможности	1005	20
45	Приложение А	1548	27
46	Внимание, запрещается использовать сокращения во введении	1223	22
47	Пункты должны иметь порядковую нумерацию в пределах каждого	1206	20
48	Если в отчете только одна иллюстрация, то она обозначается словом	1158	19
49	Пример оформления не умещенной иллюстрации представлен на	309	6
50	обычный рисунок за исключением того, что подрисуночный текст должен	849	15
51	На все таблицы должны быть ссылки в отчете.	1634	29
52	Рис. 6 – оформление таблицы с переносом и без	777	12
53	коэффициента следует давать с новой строки. Первую строку пояснения	1107	19
54	Пример перечислений представлен в соответствии с рисунком 9.	767	13
55	Рис. 10 – Ссылки на источники	1378	25
56	Обратите внимании на то, что при формировании содержания	323	6
57	20) Во всей работе должен соблюдаться единый стиль символов:	694	13
58	Коды документа: ПЗ -81, ТЗ – 91, РСП – 32.	584	11
59	23) Оформление листа приложения ПЗ. По центру страницы с	873	14
60	Приложение Б	3597	37
61	Министерство науки и высшего образования Российской Федерации	2156	36
62	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	1368	34
63	Министерство науки и высшего образования Российской Федерации	1487	25
64	Министерство науки и высшего образования Российской Федерации	1449	25
65	Министерство науки и высшего образования Российской Федерации	1438	25
66	Министерство науки и высшего образования Российской Федерации	1460	25
67	Министерство науки и высшего образования Российской Федерации	1945	30
68	Министерство науки и высшего образования Российской Федерации	1039	19
69	Список использованной литературы	1081	17
70	Учебное издание	805	15
